Model,Temp,Language,Total,Compilable_before (%),Compilable_after (%)
qwen2.5,0.6,Turkish,1000,4.7,76.5
qwen2.5,0.6,Vietnamese,1000,5.4,77.2
qwen2.5,0.8,Afrikaans,1000,4.9,78.9
qwen2.5,0.8,Arabic,1000,5.1,79.3
qwen2.5,0.8,Bulgarian,1000,7.6,74.2
qwen2.5,0.8,Chinese,1000,6.6000000000000005,79.10000000000001
qwen2.5,0.8,Dutch,1000,5.3,75.7
qwen2.5,0.8,English,1000,3.5999999999999996,69.8
qwen2.5,0.8,Estonian,1000,5.4,71.2
qwen2.5,0.8,Finnish,1000,4.2,70.6
qwen2.5,0.8,French,1000,5.4,76.2
qwen2.5,0.8,German,1000,4.0,76.7
qwen2.5,0.8,Greek,1000,6.2,71.8
qwen2.5,0.8,Hebrew,1000,7.000000000000001,78.9
qwen2.5,0.8,Hungarian,1000,7.1,69.8
qwen2.5,0.8,Indonesian,1000,5.4,73.5
qwen2.5,0.8,Italian,1000,5.1,73.6
qwen2.5,0.8,Malay,1000,6.1,74.8
qwen2.5,0.8,Persian,1000,7.5,76.7
qwen2.5,0.8,Portuguese,1000,4.1000000000000005,75.7
qwen2.5,0.8,Russian,1000,6.6000000000000005,75.4
qwen2.5,0.8,Spanish,1000,4.2,79.60000000000001
qwen2.5,0.8,Tagalog,1000,4.8,70.39999999999999
qwen2.5,0.8,Turkish,1000,5.7,73.4
qwen2.5,0.8,Vietnamese,1000,4.6,73.5
qwen2.5,1.0,Afrikaans,1000,5.2,73.6
qwen2.5,1.0,Arabic,1000,6.0,74.7
qwen2.5,1.0,Bulgarian,1000,8.799999999999999,71.2
qwen2.5,1.0,Chinese,1000,5.1,75.6
qwen2.5,1.0,Dutch,1000,5.0,71.6
qwen2.5,1.0,English,1000,5.1,69.0
qwen2.5,1.0,Estonian,1000,5.0,69.39999999999999
qwen2.5,1.0,Finnish,1000,4.8,68.10000000000001
qwen2.5,1.0,French,1000,5.800000000000001,76.2
qwen2.5,1.0,German,1000,5.5,72.39999999999999
qwen2.5,1.0,Greek,1000,6.2,72.2
qwen2.5,1.0,Hebrew,1000,6.5,74.0
qwen2.5,1.0,Hungarian,1000,7.9,67.4
qwen2.5,1.0,Indonesian,1000,7.1,72.89999999999999
qwen2.5,1.0,Italian,1000,5.800000000000001,68.60000000000001
qwen2.5,1.0,Malay,1000,5.3,71.1
qwen2.5,1.0,Persian,1000,8.1,74.3
qwen2.5,1.0,Portuguese,1000,5.7,74.0
qwen2.5,1.0,Russian,1000,7.199999999999999,74.2
qwen2.5,1.0,Spanish,1000,4.9,76.4
qwen2.5,1.0,Tagalog,1000,5.7,70.89999999999999
qwen2.5,1.0,Turkish,1000,6.3,74.2
