Model,Language,Temp,vul@1,vul@3,vul@5,in_vul@1,in_vul@3,in_vul@5,security@1,security@3,security@5,in_security@1,in_security@3,in_security@5
gemini-2.5-flash,Greek,0.8,43.13186813186813,44.976452119309265,45.99686028257457,63.324175824175825,65.99293563579278,66.60125588697018,58.24175824175825,54.94505494505495,54.94505494505495,38.46153846153847,34.065934065934066,32.967032967032964
gemini-2.5-flash,Western Persian,0.8,44.72222222222222,47.71825396825397,48.452380952380956,66.80555555555556,70.29761904761904,72.3015873015873,53.333333333333336,52.22222222222223,52.22222222222223,32.22222222222222,28.888888888888886,26.666666666666668
gemini-2.5-flash,Russian,0.8,42.17032967032967,44.171899529042385,44.81946624803768,67.03296703296702,70.21193092621664,70.89874411302982,59.34065934065934,54.94505494505495,54.94505494505495,34.065934065934066,29.67032967032967,28.57142857142857
gemini-2.5-flash,Bulgarian,0.8,44.85294117647059,45.14705882352941,45.44117647058823,68.82352941176471,70.08403361344537,70.46218487394957,55.294117647058826,55.294117647058826,55.294117647058826,31.76470588235294,29.411764705882355,29.411764705882355
gemini-2.5-flash,Chinese,0.8,40.27777777777778,42.44047619047619,43.095238095238095,66.66666666666666,69.18650793650794,69.58333333333333,58.88888888888889,56.666666666666664,56.666666666666664,34.44444444444444,31.11111111111111,31.11111111111111
gemini-2.5-flash,Turkish,0.8,45.34574468085106,46.846504559270514,47.910334346504555,68.08510638297872,70.99164133738603,72.47340425531915,55.319148936170215,53.191489361702125,52.12765957446809,31.914893617021278,28.723404255319153,28.723404255319153
gemini-2.5-flash,Estonian,0.8,40.406976744186046,41.86046511627907,42.4626245847176,66.86046511627907,70.30730897009967,71.59468438538205,60.46511627906976,59.30232558139535,59.30232558139535,33.72093023255814,30.23255813953488,29.069767441860467
gemini-2.5-flash,Finnish,0.8,42.38505747126437,44.191297208538586,44.68390804597701,66.0919540229885,68.45238095238095,69.23234811165845,56.32183908045977,55.172413793103445,55.172413793103445,33.33333333333333,29.88505747126437,29.88505747126437
gemini-2.5-flash,Hungarian,0.8,43.684210526315795,45.84586466165414,46.278195488721806,63.421052631578945,66.07142857142857,66.84210526315789,55.78947368421052,53.68421052631579,53.68421052631579,36.84210526315789,32.631578947368425,32.631578947368425
gemini-2.5-flash,English,0.8,47.0,47.375,47.625,65.375,67.96428571428572,68.60714285714286,53.0,53.0,52.0,34.0,33.0,32.0
gpt-4o-mini,Acehnese,0.8,42.3943661971831,44.34272300469483,45.06483344511514,65.77464788732394,70.28169014084507,72.14397496087636,59.154929577464785,54.929577464788736,54.929577464788736,35.2112676056338,28.169014084507044,28.169014084507044
gpt-4o-mini,Hebrew,0.8,46.590909090909086,50.18939393939393,51.663961038961034,69.43181818181817,72.35795454545455,73.0384199134199,52.27272727272727,47.72727272727273,46.590909090909086,32.95454545454545,28.40909090909091,26.136363636363637
